l_id,s_id
l_01,s_01
l_02,s_01
l_03,s_01
l_04,s_01
l_05,s_01
l_06,s_01
l_07,s_01
l_08,s_01
l_09,s_01
l_10,s_02
l_10_01,s_02
l_11,s_02
l_12,s_02
l_13,s_02
l_14,s_02
l_15,s_02
l_16,s_02
l_17,s_02
l_18,s_02
l_19,s_02
l_20,s_03
l_20_01,s_03
l_20_02,s_03
l_21,s_03
l_22,s_03
l_22_01,s_03
l_22_02,s_03
l_22_03,s_03
l_22_04,s_03
l_22_05,s_03
l_22_06,s_03
l_22_07,s_03
l_22_08_a,s_03
l_22_08_b,s_03
l_22_09,s_03
l_22_10,s_03
l_23_01_a,s_04
l_23_01_b,s_04
l_23_01_c,s_04
l_23_02_a,s_04
l_23_02_b,s_04
l_23_03_a,s_04
l_23_03_b,s_04
l_23_03_c,s_04
l_23_04_a,s_04
l_23_04_b,s_04
l_23_04_c,s_04
l_23_05_a,s_04
l_23_05_b,s_04
l_23_05_c,s_04
l_23_06_a,s_04
l_23_06_b,s_04
l_23_06_c,s_04
l_23_07_a,s_04
l_23_07_b,s_04
l_23_08_a,s_04
l_23_08_b,s_04
l_23_08_c,s_04
l_23_09_a,s_04
l_23_09_b,s_04
l_23_09_c,s_04
l_23_10_a,s_04
l_23_10_b,s_04
l_23_10_c,s_04
l_23_11_a,s_04
l_23_11_b,s_04
l_23_11_c,s_04
l_23_12_a,s_04
l_23_12_b,s_04
l_23_12_c,s_04
